Task_short,Dataset,ModelName,ModelName_short,ModelCategory,ModelDomain,ModelArch,balanced_accuracy,F1_score,Precision,Recall,Cancer,Slide_vs_patch_classification,binary_multi,tissue,average_performance
TCGA-Grade,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.53,0.55,0.65,0.53,Pan-cancer,Slide,multi-class,pan-cancer,0.56
TCGA-Grade,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.57,0.57,0.64,0.57,Pan-cancer,Slide,multi-class,pan-cancer,0.59
TCGA-Grade,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.45,0.47,0.58,0.45,Pan-cancer,Slide,multi-class,pan-cancer,0.49
TCGA-Grade,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.46,0.47,0.58,0.46,Pan-cancer,Slide,multi-class,pan-cancer,0.49
TCGA-Grade,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.54,0.55,0.63,0.54,Pan-cancer,Slide,multi-class,pan-cancer,0.57
TCGA-Grade,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.56,0.56,0.63,0.56,Pan-cancer,Slide,multi-class,pan-cancer,0.58
TCGA-Grade,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.5,0.51,0.6,0.5,Pan-cancer,Slide,multi-class,pan-cancer,0.53
TCGA-Grade,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.51,0.5,0.57,0.51,Pan-cancer,Slide,multi-class,pan-cancer,0.52
kidney_subtype,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.82,0.84,0.88,0.82,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.84
kidney_subtype,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.79,0.81,0.89,0.79,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.82
kidney_subtype,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.68,0.69,0.77,0.68,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.7
kidney_subtype,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.76,0.78,0.86,0.76,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.79
kidney_subtype,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.77,0.78,0.81,0.77,KIRC + KIRP + KICH,Slide,multi-class,kidney,0.78
