"ModelName_short","Task_short","Cancer","AUROC","AUPRC","Balanced_accuracy","Precision","Recall","Weighted_F1","Sensitivity","Specificity","AUROC_lower","AUROC_upper","AUPRC_lower","AUPRC_upper","Balanced_accuracy_lower","Balanced_accuracy_upper","Precision_lower","Precision_upper","Recall_lower","Recall_upper","Weighted_F1_lower","Weighted_F1_upper","Sensitivity_lower","Sensitivity_upper","Specificity_lower","Specificity_upper","binary_multi","Public","Dataset","Slide_vs_patch_classification","tissue","TaskCategory","TaskCategory_short","Classes","ModelName","ModelCategory","ModelDomain","ModelArch","Parameters_in_million","TrainingData_patches_in_million","Slides_in_million"
"Kaiko","lung exp subtype","LUSC+LUAD",0.855271057070945,0.6330143,0.5722407,0.5691475,0.5722407,0.5684318,0.572239560566093,0.893155907346733,0.815920314381571,0.893587125324918,0.5503375,0.715205,0.49169,0.653905,0.4879975,0.6519025,0.49169,0.653905,0.486585,0.6494025,0.49168111977292,0.653872349071207,0.873253385548281,0.913115165628074,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","lung exp subtype","LUSC+LUAD",0.911013479040977,0.7614629,0.7140436,0.7167481,0.7140436,0.7134058,0.714042211136457,0.928337076928216,0.879233600969649,0.941904622827561,0.6862825,0.83472,0.6448775,0.780505,0.645375,0.780315,0.6448775,0.780505,0.6439975,0.7782,0.644896633384537,0.780478751766956,0.911110432814145,0.944905423330636,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","lung exp subtype","LUSC+LUAD",0.902568684499789,0.7494682,0.6752708,0.6839197,0.6752708,0.6763146,0.67527113144247,0.918945781037387,0.870053506463634,0.932746286990192,0.6785675,0.8210025,0.6027,0.7515,0.6127925,0.7606575,0.6027,0.7515,0.604995,0.75271,0.602747086068054,0.75153406987278,0.901499015055224,0.937864235070064,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","lung exp subtype","LUSC+LUAD",0.823845621403782,0.5822791,0.5378987,0.5367882,0.5378987,0.5344572,0.53789871487179,0.884420172092482,0.780524209943706,0.862069035932865,0.5047825,0.65972,0.46019,0.614705,0.4571975,0.6172175,0.46019,0.614705,0.4554975,0.61318,0.460174686424687,0.614687852996677,0.864730640064807,0.90379108178359,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","lung exp subtype","LUSC+LUAD",0.890411163088303,0.702238,0.6626157,0.6628191,0.6626157,0.6596437,0.662614456015856,0.915683884139441,0.856617896707168,0.924036069868706,0.6219,0.782505,0.590875,0.7326025,0.5877,0.7334175,0.590875,0.7326025,0.5863875,0.73164,0.590843161062744,0.732634309490991,0.897547234198937,0.933330057388485,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","lung exp subtype","LUSC+LUAD",0.878183614174975,0.6842929,0.6579512,0.6571571,0.6579512,0.6567003,0.657950497104829,0.914373061329353,0.840104273077699,0.913824295267134,0.601685,0.7679,0.5783625,0.7295075,0.5776475,0.7277425,0.5783625,0.7295075,0.5792575,0.7258025,0.578343108076564,0.729473547076488,0.895097439824071,0.931563956458188,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","lung exp subtype","LUSC+LUAD",0.881527557033785,0.6933322,0.6421105,0.6461524,0.6421105,0.6417664,0.642111301247569,0.910663358940214,0.843772004339751,0.914140867468463,0.608995,0.7727025,0.56688,0.7158175,0.5708975,0.7219025,0.56688,0.7158175,0.56529,0.7158275,0.566865067060416,0.715786833240865,0.89232990214244,0.929400327060913,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","lung exp subtype","LUSC+LUAD",0.898302530998594,0.7138621,0.6699359,0.6716515,0.6699359,0.6668084,0.669935402744448,0.917271548643658,0.867130702621363,0.927965042475024,0.63557,0.7943025,0.5986,0.7429025,0.5995625,0.7475225,0.5986,0.7429025,0.5912925,0.739925,0.598614202806156,0.742932007352383,0.899289359742724,0.935541304759036,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","lusc vs luad","LUSC+LUAD",0.92500418426613,0.925401950465886,0.8654002,0.8654408,0.8654002,0.8654292,0.863047402095745,0.867751427968447,0.902583974540611,0.94549799990594,0.897060080707995,0.949105888669901,0.8375825,0.8900175,0.8364,0.89051,0.8375825,0.8900175,0.836695,0.8895375,0.823735717308506,0.898955583711681,0.825927686281696,0.903686362360208,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","lusc vs luad","LUSC+LUAD",0.941495340651813,0.943617344058828,0.8810734,0.8810936,0.8810734,0.8810768,0.878818007202929,0.883327671302493,0.923470343147121,0.958017339353138,0.921756694808075,0.962335064100074,0.8550975,0.9066,0.8552,0.9067,0.8550975,0.9066,0.8552,0.9063025,0.841735108090248,0.915203001146022,0.845110588645071,0.917808219178082,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
