"ModelName_short","Task_short","Dataset","Cancer","tissue","TaskCategory","TaskCategory_short","AUROC","AUROC_lower","AUROC_upper","AUPRC","AUPRC_lower","AUPRC_upper","Balanced_accuracy","Balanced_accuracy_lower","Balanced_accuracy_upper","Sensitivity","Sensitivity_lower","Sensitivity_upper","Specificity","Specificity_lower","Specificity_upper","binary_multi","Public","Slide_vs_patch_classification","Classes","ModelName","ModelCategory","ModelDomain","ModelArch","Parameters_in_million","TrainingData_patches_in_million","Slides_in_million"
"Kaiko","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.855271057070945,0.815920314381571,0.893587125324918,0.6330143,0.5503375,0.715205,0.5722407,0.49169,0.653905,0.572239560566093,0.49168111977292,0.653872349071207,0.893155907346733,0.873253385548281,0.913115165628074,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.911013479040977,0.879233600969649,0.941904622827561,0.7614629,0.6862825,0.83472,0.7140436,0.6448775,0.780505,0.714042211136457,0.644896633384537,0.780478751766956,0.928337076928216,0.911110432814145,0.944905423330636,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.902568684499789,0.870053506463634,0.932746286990192,0.7494682,0.6785675,0.8210025,0.6752708,0.6027,0.7515,0.67527113144247,0.602747086068054,0.75153406987278,0.918945781037387,0.901499015055224,0.937864235070064,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.823845621403782,0.780524209943706,0.862069035932865,0.5822791,0.5047825,0.65972,0.5378987,0.46019,0.614705,0.53789871487179,0.460174686424687,0.614687852996677,0.884420172092482,0.864730640064807,0.90379108178359,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.890411163088303,0.856617896707168,0.924036069868706,0.702238,0.6219,0.782505,0.6626157,0.590875,0.7326025,0.662614456015856,0.590843161062744,0.732634309490991,0.915683884139441,0.897547234198937,0.933330057388485,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.878183614174975,0.840104273077699,0.913824295267134,0.6842929,0.601685,0.7679,0.6579512,0.5783625,0.7295075,0.657950497104829,0.578343108076564,0.729473547076488,0.914373061329353,0.895097439824071,0.931563956458188,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.881527557033785,0.843772004339751,0.914140867468463,0.6933322,0.608995,0.7727025,0.6421105,0.56688,0.7158175,0.642111301247569,0.566865067060416,0.715786833240865,0.910663358940214,0.89232990214244,0.929400327060913,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","lung exp subtype","TCGA","LUSC+LUAD","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction",0.898302530998594,0.867130702621363,0.927965042475024,0.7138621,0.63557,0.7943025,0.6699359,0.5986,0.7429025,0.669935402744448,0.598614202806156,0.742932007352383,0.917271548643658,0.899289359742724,0.935541304759036,"multi-class","TCGA","Slide","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.92500418426613,0.902583974540611,0.94549799990594,0.925401950465886,0.897060080707995,0.949105888669901,0.8654002,0.8375825,0.8900175,0.863047402095745,0.823735717308506,0.898955583711681,0.867751427968447,0.825927686281696,0.903686362360208,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.941495340651813,0.923470343147121,0.958017339353138,0.943617344058828,0.921756694808075,0.962335064100074,0.8810734,0.8550975,0.9066,0.878818007202929,0.841735108090248,0.915203001146022,0.883327671302493,0.845110588645071,0.917808219178082,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.94072952799219,0.92066353933989,0.959474438847649,0.941862356707858,0.917970247660695,0.962931121325297,0.8853197,0.8586975,0.91241,0.880364064582661,0.840903312788906,0.918465300585463,0.890277092976042,0.856630660427149,0.924739939056425,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.859516429953939,0.829392899726117,0.888705061718391,0.851377684936335,0.806898480050204,0.88912049090077,0.7884801,0.75629,0.821,0.801861032077218,0.755390101711734,0.847422152929579,0.77510093352539,0.727907278645339,0.822224157955865,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.936436651679081,0.913785274464738,0.954673653170473,0.936905491206156,0.909558301918215,0.958802564489234,0.8639425,0.8347925,0.8908025,0.857266480733257,0.813110014497602,0.895485057385136,0.870617851201691,0.828561610211095,0.909385384765752,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.942766227034285,0.924423323426073,0.959881655920938,0.941930855093333,0.915810002264283,0.962533206210424,0.8886404,0.8622975,0.9130025,0.890180837494225,0.852391377787017,0.925572060791108,0.887100610210444,0.851125555372717,0.920022151898734,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.935254333827706,0.913538441910184,0.954083219279116,0.932312577613351,0.899137580165571,0.958793663088248,0.8801196,0.8535975,0.9063025,0.865958837537008,0.823128637736683,0.902536163522012,0.894279129728098,0.858167950693374,0.928813860908378,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.930700251498296,0.90947977616792,0.949201660968692,0.935186758431582,0.912168589545923,0.954895147101122,0.8616026,0.8329975,0.8889,0.853052838245344,0.809975694444445,0.892367519574944,0.870152352959736,0.831081081081081,0.907287834191808,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.846703176388909,0.80311545609629,0.884881028388482,0.803878747855785,0.732623199733958,0.873821411845776,0.7667343,0.7201875,0.807105,0.781274352364098,0.713357493227908,0.841780479680213,0.752195766831544,0.689265536723164,0.815231693363844,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.80888906573975,0.762297261119476,0.854261624427806,0.770236157173352,0.698080208603017,0.842860111860731,0.7358702,0.6891,0.7806125,0.763989692993272,0.698408002254156,0.824876823019314,0.707755207882276,0.63635128458498,0.774891321592892,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.87654397495827,0.840561572857549,0.909978259191348,0.871228133481601,0.822398760817598,0.914207714263152,0.7901888,0.74798,0.8319025,0.829161571837617,0.772439014588273,0.878612716763006,0.751216784987025,0.688769237203078,0.81319612590799,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.790055979322496,0.740068075068075,0.836230642471843,0.75588185262259,0.674214320443916,0.823299276921699,0.7160203,0.67039,0.76322,0.735308858026107,0.664739884393064,0.802397057736379,0.696729791556225,0.627065677966102,0.765076592082616,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.840263554596989,0.799593413853519,0.881870718170356,0.806642430246175,0.738855258554117,0.87617617106066,0.7454447,0.7004,0.792405,0.764264694707065,0.701217760022428,0.826353362638884,0.726626496202481,0.658212369290038,0.792225082609698,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.817809802642285,0.775638425731995,0.860186942124903,0.79919032174063,0.72998044540405,0.861496895136075,0.749964,0.7061975,0.798315,0.780690006683575,0.721020821283979,0.841487435328899,0.719237799851339,0.647040889526542,0.78804347826087,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.820162199538658,0.769589540924774,0.862841536276038,0.80109080929658,0.73434528289549,0.856856036599237,0.7620848,0.713995,0.8057025,0.79350203921824,0.729396809571286,0.854173259493671,0.730667971091172,0.664832782824112,0.794300366300366,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.819572422026164,0.776712253673501,0.859577898103238,0.798793350755949,0.731101705615095,0.857959487032795,0.7452196,0.70149,0.790415,0.775459010145166,0.711764705882353,0.834226126814362,0.714980011340919,0.651385794995964,0.781420765027322,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.798922577982501,0.730067353668752,0.85692619793078,0.763269700821244,0.667835742030471,0.840147005277786,0.7012038,0.6298925,0.762405,0.740047132483995,0.644216954022989,0.82559403437816,0.662358107594344,0.568128216123499,0.747368421052632,"binary","CPTAC","Slide","chromatin modification pathway activation","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.758787728733301,0.690160112359551,0.824650508807792,0.709287336370313,0.607115238246062,0.804071804504417,0.695501,0.62905,0.760015,0.771997287402315,0.684782608695652,0.860215053763441,0.619003581149647,0.521265514184397,0.711116838487973,"binary","CPTAC","Slide","chromatin modification pathway activation","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
